x,y,objID,classID
1251.0,7368.0,1.0,1.0
1247.0,7365.0,1.0,1.0
1243.0,7353.0,1.0,1.0
1237.0,7343.0,1.0,1.0
1235.0,7338.0,1.0,1.0
1234.0,7336.0,1.0,1.0
1234.0,7330.0,1.0,1.0
1235.0,7329.0,1.0,1.0
1235.0,7327.0,1.0,1.0
1235.0,7326.0,1.0,1.0
1235.0,7320.0,1.0,1.0
1235.0,7315.0,1.0,1.0
1234.0,7311.0,1.0,1.0
1234.0,7309.0,1.0,1.0
1235.0,7304.0,1.0,1.0
1234.0,7302.0,1.0,1.0
1234.0,7299.0,1.0,1.0
1234.0,7296.0,1.0,1.0
1234.0,7291.0,1.0,1.0
1235.0,7286.0,1.0,1.0
1235.0,7279.0,1.0,1.0
1237.0,7269.0,1.0,1.0
1238.0,7265.0,1.0,1.0
1238.0,7264.0,1.0,1.0
1239.0,7260.0,1.0,1.0
1239.0,7257.0,1.0,1.0
1239.0,7256.0,1.0,1.0
1240.0,7252.0,1.0,1.0
1242.0,7250.0,1.0,1.0
1245.0,7250.0,1.0,1.0
1245.0,7246.0,1.0,1.0
1246.0,7243.0,1.0,1.0
1247.0,7241.0,1.0,1.0
1247.0,7237.0,1.0,1.0
1247.0,7235.0,1.0,1.0
1247.0,7233.0,1.0,1.0
1247.0,7232.0,1.0,1.0
1247.0,7229.0,1.0,1.0
1247.0,7227.0,1.0,1.0
1247.0,7226.0,1.0,1.0
1249.0,7223.0,1.0,1.0
1252.0,7221.0,1.0,1.0
1253.0,7218.0,1.0,1.0
1253.0,7217.0,1.0,1.0
1254.0,7215.0,1.0,1.0
1255.0,7213.0,1.0,1.0
1257.0,7212.0,1.0,1.0
1258.0,7211.0,1.0,1.0
1267.0,7198.0,1.0,1.0
1273.0,7191.0,1.0,1.0
1276.0,7186.0,1.0,1.0
1277.0,7184.0,1.0,1.0
1278.0,7183.0,1.0,1.0
1280.0,7182.0,1.0,1.0
1281.0,7181.0,1.0,1.0
1282.0,7180.0,1.0,1.0
1283.0,7179.0,1.0,1.0
1285.0,7178.0,1.0,1.0
1286.0,7176.0,1.0,1.0
1290.0,7173.0,1.0,1.0
1292.0,7172.0,1.0,1.0
1294.0,7171.0,1.0,1.0
1294.0,7169.0,1.0,1.0
1296.0,7169.0,1.0,1.0
1296.0,7168.0,1.0,1.0
1297.0,7167.0,1.0,1.0
1299.0,7165.0,1.0,1.0
1304.0,7163.0,1.0,1.0
1305.0,7163.0,1.0,1.0
1307.0,7161.0,1.0,1.0
1308.0,7160.0,1.0,1.0
1311.0,7159.0,1.0,1.0
1313.0,7158.0,1.0,1.0
1317.0,7156.0,1.0,1.0
1320.0,7153.0,1.0,1.0
1323.0,7152.0,1.0,1.0
1324.0,7150.0,1.0,1.0
1326.0,7150.0,1.0,1.0
1328.0,7148.0,1.0,1.0
1329.0,7148.0,1.0,1.0
1331.0,7146.0,1.0,1.0
1334.0,7144.0,1.0,1.0
1335.0,7143.0,1.0,1.0
1337.0,7142.0,1.0,1.0
1339.0,7142.0,1.0,1.0
1340.0,7141.0,1.0,1.0
1344.0,7141.0,1.0,1.0
1345.0,7141.0,1.0,1.0
1346.0,7140.0,1.0,1.0
1349.0,7138.0,1.0,1.0
1350.0,7138.0,1.0,1.0
1353.0,7136.0,1.0,1.0
1358.0,7134.0,1.0,1.0
1360.0,7133.0,1.0,1.0
1361.0,7133.0,1.0,1.0
1362.0,7133.0,1.0,1.0
1365.0,7133.0,1.0,1.0
1365.0,7132.0,1.0,1.0
1367.0,7130.0,1.0,1.0
1369.0,7130.0,1.0,1.0
1374.0,7128.0,1.0,1.0
1376.0,7127.0,1.0,1.0
1378.0,7127.0,1.0,1.0
1380.0,7126.0,1.0,1.0
1382.0,7126.0,1.0,1.0
1383.0,7126.0,1.0,1.0
1384.0,7125.0,1.0,1.0
1385.0,7126.0,1.0,1.0
1389.0,7125.0,1.0,1.0
1391.0,7125.0,1.0,1.0
1394.0,7125.0,1.0,1.0
1397.0,7125.0,1.0,1.0
1399.0,7123.0,1.0,1.0
1403.0,7123.0,1.0,1.0
1405.0,7123.0,1.0,1.0
1407.0,7122.0,1.0,1.0
1409.0,7121.0,1.0,1.0
1412.0,7119.0,1.0,1.0
1414.0,7118.0,1.0,1.0
1416.0,7117.0,1.0,1.0
1416.0,7114.0,1.0,1.0
1417.0,7114.0,1.0,1.0
1420.0,7114.0,1.0,1.0
1423.0,7113.0,1.0,1.0
1426.0,7112.0,1.0,1.0
1427.0,7112.0,1.0,1.0
1428.0,7112.0,1.0,1.0
1429.0,7112.0,1.0,1.0
1429.0,7113.0,1.0,1.0
1429.0,7115.0,1.0,1.0
1429.0,7118.0,1.0,1.0
1429.0,7119.0,1.0,1.0
1429.0,7122.0,1.0,1.0
1428.0,7128.0,1.0,1.0
1429.0,7130.0,1.0,1.0
1429.0,7136.0,1.0,1.0
1429.0,7138.0,1.0,1.0
1428.0,7142.0,1.0,1.0
1427.0,7144.0,1.0,1.0
1423.0,7146.0,1.0,1.0
1421.0,7149.0,1.0,1.0
1419.0,7150.0,1.0,1.0
1415.0,7151.0,1.0,1.0
1411.0,7152.0,1.0,1.0
1406.0,7155.0,1.0,1.0
1401.0,7155.0,1.0,1.0
1399.0,7155.0,1.0,1.0
1396.0,7155.0,1.0,1.0
1394.0,7155.0,1.0,1.0
1391.0,7155.0,1.0,1.0
1390.0,7155.0,1.0,1.0
1386.0,7155.0,1.0,1.0
1385.0,7155.0,1.0,1.0
1384.0,7155.0,1.0,1.0
1383.0,7155.0,1.0,1.0
1382.0,7155.0,1.0,1.0
1381.0,7155.0,1.0,1.0
1380.0,7156.0,1.0,1.0
1377.0,7157.0,1.0,1.0
1375.0,7161.0,1.0,1.0
1374.0,7163.0,1.0,1.0
1370.0,7164.0,1.0,1.0
1369.0,7165.0,1.0,1.0
1367.0,7167.0,1.0,1.0
1365.0,7167.0,1.0,1.0
1363.0,7168.0,1.0,1.0
1360.0,7168.0,1.0,1.0
1355.0,7168.0,1.0,1.0
1353.0,7168.0,1.0,1.0
1351.0,7168.0,1.0,1.0
1349.0,7169.0,1.0,1.0
1347.0,7169.0,1.0,1.0
1345.0,7168.0,1.0,1.0
1343.0,7168.0,1.0,1.0
1340.0,7168.0,1.0,1.0
1339.0,7169.0,1.0,1.0
1338.0,7169.0,1.0,1.0
1337.0,7172.0,1.0,1.0
1336.0,7174.0,1.0,1.0
